Year,squirrel_id,taglft,tagrt,gr,locx,locy,reflo,sq_fate,2nd?,Confirmed present,OBS 1,Date 1,Date 2,CA1,CA2,Width,Length,No_Quad,Quad_area,Q1A_old,Q1A_new,Q1B_old,Q1B_new,Q2A_old,Q2A_new,Q2B_old,Q2B_new,Q3A_old,Q3A_new,Q3B_old,Q3B_new,Q4A_old,Q4A_new,Q4B_old,Q4B_new,total_old,total_new,
2023,25966,M9901,M9902,SU,J.5,4.0,J.4,21,,,BLS,19-Sep,,2,,595,770,8,0.9,28,0,104,0,57,0,14,1,143,0,1,0,138,25,160,44,645,70,
2023,25967,M9984,S6547,SU,G.0,3.0,G3,21,,,BLS,19-Sep,,4,,780,920,8,0.9,10,0,11,0,37,0,12,0,94,3,5,0,484,0,392,13,1045,16,
2023,25972,M8391,M8392,SU,K.5,15.0,K.15,21,,,BLS,19-Sep,,2,,520,655,8,0.9,51,0,1,3,67,26,51,2,2,0,1,0,90,0,13,0,276,31,
2023,25993,M9958,M9959,SU,A.0,7.0,A7,21,,,BLS,17-Sep,,3,,450,770,8,0.9,203,2,2,0,6,1,2,0,51,6,16,5,90,0,62,0,432,14,
2023,25994,M9960,M8815,SU,E.5,4.5,E.4.,21,,,BLS,19-Sep,,4,,780,815,8,0.9,8,0,14,7,42,0,215,0,444,0,118,11,18,0,83,0,942,18,
2023,100009,M8851,M8852,SU,B.5,10.5,B.10.,21,,,BLS,17-Sep,,2,,430,520,8,0.9,0,18,2,0,15,0,0,0,19,0,2,4,3,0,24,3,65,25,
2023,100018,M9592,M9593,SU,-1.0,3.0,-13,21,,,BLS,16-Sep,,1,,320,360,8,0.9,5,0,8,0,12,0,10,0,1,0,2,0,1,0,0,0,39,0,
2023,100021,M8805,M8806,SU,N.0,9.0,N9,21,,,NKMH,19-Sep,,4,,730,820,8,0.9,162,0,210,0,65,0,18,0,94,0,223,0,192,0,1,0,965,0,
2023,100023,M8809,M8810,SU,Q.0,11.0,Q11,21,,,SB,22-Sep,,2,,500,560,8,0.9,10,0,27,0,6,0,9,0,21,0,112,0,6,0,116,0,307,0,
2023,100217,M8874,M8875,SU,I.0,2.5,I2.,21,,,BLS,19-Sep,,2,,420,580,8,0.9,4,0,0,0,3,0,3,0,56,0,40,0,41,0,3,0,150,0,
2023,100218,M8871,M8872,SU,-1.0,17.0,-117,21,,,BLS,18-Sep,,4,,730,780,8,0.9,26,0,164,0,8,0,39,0,204,0,47,0,221,0,229,5,938,5,
2023,100245,M8865,-,SU,Q.0,3.5,Q3.,21,,,BLS,20-Sep,,2,,300,710,8,0.9,1,3,15,0,17,0,11,0,3,0,1,0,6,7,6,1,60,11,
2023,100266,M8649,M8650,SU,M.0,4.5,M4.,21,,,SB,22-Sep,,5,,430,580,8,0.9,246,0,325,0,74,0,7,0,474,0,90,0,45,0,220,0,1481,0,
2023,100268,M8823,M8845,SU,T.0,6.0,T6,21,,,BLS,20-Sep,,1,,320,400,8,0.9,26,0,51,0,5,0,6,0,2,0,40,0,35,0,6,0,171,0,
2023,100270,M8813,M8877,SU,O.0,2.5,O2.,21,,,BLS,17-Sep,,1,,210,370,8,0.9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,5,0,
2023,24835,M6875,M6874,KL,-5.0,12.0,-512,21,,,NKMH,22-Sep,,2,,640,800,8,0.9,78,0,11,0,140,0,171,0,231,0,6,0,38,0,26,0,701,0,
2023,100049,M8361,M8362,KL,-3.0,10.0,-310,21,,,NKMH,21-Sep,,5,,490,910,8,0.9,192,0,118,0,22,0,74,0,18,2,74,0,490,0,58,0,1046,2,
2023,100050,M8360,M8361,KL,-1.0,14.5,-114,21,,,NKMH,21-Sep,,2,,490,580,8,0.9,1,0,4,0,6,0,6,0,1,0,0,0,15,0,209,4,242,4,RT should be M8358?
2023,25704,M8409,M9852,KL,-5.0,9.0,-59,21,,,BLS,14-Sep,,5,,735,660,8,0.9,68,0,910,1,110,1,68,0,1115,1,164,0,732,0,31,0,3198,3,
2023,25838,M9749,M9750,KL,-5.0,5.0,-55,21,,,NKMH,22-Sep,,1,,160,320,8,0.9,0,0,0,0,2,0,4,0,0,0,1,0,1,0,3,2,11,2,
2023,100187,M9347,M9348,KL,-5.0,3.0,-53,21,,,NKMH,22-Sep,,1,,440,590,8,0.9,5,0,12,0,13,0,7,0,5,0,47,0,12,0,1,0,102,0,
2023,100232,M8487,M8488,KL,-1.0,4.0,-14,21,,,NKMH,19-Sep,,2,,410,810,8,0.9,4,0,18,0,11,0,38,0,17,0,0,0,6,0,22,11,116,11,
2023,25583,-,M9239,KL,-8.5,12.0,-8.12,21,,,SB,21-Sep,,5,,510,760,8,0.9,153,0,139,0,332,0,252,0,104,0,1020,0,186,0,182,0,2368,0,
2023,25982,F7100,M6225,KL,-7.5,6.0,-7.6,21,,,SB,21-Sep,,5,,510,650,8,0.9,67,0,350,0,2,0,72,0,125,1,601,0,71,1,855,0,2143,2,
2023,25992,M9147,M9148,KL,-6.5,9.0,-6.9,21,,,BLS,14-Sep,,1,,420,550,8,0.9,8,5,42,3,55,0,27,0,19,0,39,14,33,0,117,0,340,22,
2023,100262,M8674,M8675,KL,4.5,10.0,-4.10,21,,,SB,21-Sep,,2,,470,600,8,0.9,0,0,68,0,42,0,30,0,19,0,11,0,5,0,1,0,176,0,
2023,26032,M9972,M9973,KL,0.0,5.5,05.,21,,,NKMH,19-Sep,,3,,570,930,8,0.9,171,0,131,0,395,0,286,0,105,0,160,0,78,0,330,0,1656,0,
